Age_BP,Temp_Delta
103.838,-3.35
103.912,-3.36
103.986,-3.36
104.06,-3.39
104.133,-3.43
104.207,-3.48
104.282,-3.51
104.356,-3.51
104.43,-3.5
104.504,-3.5
104.579,-3.51
104.653,-3.52
104.728,-3.53
104.802,-3.53
104.877,-3.52
104.952,-3.53
105.026,-3.54
105.101,-3.51
105.176,-3.43
105.251,-3.32
105.326,-3.22
105.401,-3.15
105.477,-3.09
105.552,-3.03
105.628,-2.97
105.703,-2.92
105.779,-2.9
105.856,-2.94
105.932,-3.03
106.009,-3.18
106.086,-3.32
106.163,-3.44
106.241,-3.54
106.319,-3.6
106.397,-3.63
106.476,-3.64
106.555,-3.65
106.634,-3.66
106.715,-3.69
106.795,-3.8
106.876,-3.94
106.958,-4.09
107.04,-4.25
107.123,-4.42
107.206,-4.6
107.29,-4.79
107.374,-4.98
107.458,-5.14
107.544,-5.26
107.629,-5.31
107.715,-5.33
107.801,-5.31
107.888,-5.29
107.975,-5.27
108.062,-5.23
108.15,-5.18
108.238,-5.12
108.326,-5.07
108.415,-5.04
108.503,-5.03
108.592,-5.03
108.681,-5.03
108.77,-5.03
108.859,-5.06
108.948,-5.08
109.037,-5.1
109.126,-5.11
109.215,-5.1
109.304,-5.07
109.394,-5.01
109.483,-4.94
109.572,-4.86
109.661,-4.79
109.749,-4.72
109.838,-4.64
109.927,-4.57
110.016,-4.53
110.104,-4.52
110.193,-4.52
110.282,-4.54
110.37,-4.57
110.459,-4.63
110.548,-4.7
110.636,-4.77
110.725,-4.83
110.813,-4.85
110.902,-4.84
110.99,-4.82
111.079,-4.78
111.167,-4.76
111.256,-4.74
111.344,-4.72
111.432,-4.71
111.521,-4.72
111.609,-4.73
